start_station_id,start_station_name,start_lat,start_lng,end_station_id,end_station_name,end_lat,end_lng
13156,Aberdeen St & Monroe St,41.880419,-87.655519,NULL,NULL,NULL,NULL
13157,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,NULL,NULL,NULL,NULL
13158,Peoria St & Jackson Blvd,41.8776415962753,-87.64961779117584,NULL,NULL,NULL,NULL
13160,May St & Taylor St,41.869478,-87.654238,NULL,NULL,NULL,NULL
13160,May St & Taylor St,41.8694821,-87.6554864,NULL,NULL,NULL,NULL
13160,May St & Taylor St,41.8696317,-87.6542494,NULL,NULL,NULL,NULL
13162,Halsted St & 21st St,41.85377981072743,-87.6466029882431,NULL,NULL,NULL,NULL
13163,Morgan St & 18th St,41.858086,-87.651073,NULL,NULL,NULL,NULL
13164,Racine Ave & 18th St,41.858166,-87.656495,NULL,NULL,NULL,NULL
13165,Racine Ave & 13th St,41.865054,-87.656959,NULL,NULL,NULL,NULL
13179,Clark St & Lincoln Ave,41.915689,-87.6346,NULL,NULL,NULL,NULL
13191,Sedgwick St & Webster Ave,41.922167,-87.638888,NULL,NULL,NULL,NULL
13192,Halsted St & Dickens Ave,41.919936,-87.64883,NULL,NULL,NULL,NULL
13193,Larrabee St & Webster Ave,41.921822,-87.64414,NULL,NULL,NULL,NULL
13194,Ogden Ave & Race Ave,41.891795,-87.658751,NULL,NULL,NULL,NULL
13196,Carpenter St & Huron St,41.894556,-87.653449,NULL,NULL,NULL,NULL
13197,Elizabeth St & Fulton St,41.88671077318443,-87.65965729951859,NULL,NULL,NULL,NULL
13197,Elizabeth St & Fulton St,41.886827,-87.658937,NULL,NULL,NULL,NULL
13206,Loomis St & Jackson Blvd,41.877945,-87.662007,NULL,NULL,NULL,NULL
13213,State St & 29th St,41.841707,-87.626938,NULL,NULL,NULL,NULL
13215,Rhodes Ave & 32nd St,41.836208,-87.613533,NULL,NULL,NULL,NULL
13216,State St & 33rd St,41.834734,-87.625813,NULL,NULL,NULL,NULL
13217,Calumet Ave & 33rd St,41.8349,-87.61793,NULL,NULL,NULL,NULL
13221,Wood St & Milwaukee Ave,41.907655,-87.672552,NULL,NULL,NULL,NULL
13224,Ashland Ave & Blackhawk St,41.907066,-87.667252,NULL,NULL,NULL,NULL
13229,Southport Ave & Belmont Ave,41.93947775040509,-87.6637476682663,NULL,NULL,NULL,NULL
13235,Southport Ave & Waveland Ave,41.94724,-87.66412,NULL,NULL,NULL,NULL
13235,Southport Ave & Waveland Ave,41.94815,-87.66394,NULL,NULL,NULL,NULL
13235,Southport Ave & Waveland Ave,41.948226,-87.6640712,NULL,NULL,NULL,NULL
13241,Western Ave & Division St,41.902893,-87.687275,NULL,NULL,NULL,NULL
13242,Milwaukee Ave & Rockwell St,41.92019556200566,-87.69265919923781,NULL,NULL,NULL,NULL
13243,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,NULL,NULL,NULL,NULL
13245,Claremont Ave & Hirsch St,41.907781,-87.685854,NULL,NULL,NULL,NULL
13247,Ashland Ave & Chicago Ave,41.89595435734305,-87.6677280664444,NULL,NULL,NULL,NULL
13248,Ashland Ave & Augusta Blvd,41.899643,-87.6677,NULL,NULL,NULL,NULL
13249,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,NULL,NULL,NULL,NULL
13256,California Ave & Division St,41.903029,-87.697474,NULL,NULL,NULL,NULL
13257,Campbell Ave & North Ave,41.910535,-87.689556,NULL,NULL,NULL,NULL
13258,California Ave & North Ave,41.910044,-87.697167,NULL,NULL,NULL,NULL
13259,California Ave & Francis Pl,41.91849115368695,-87.69742280244827,NULL,NULL,NULL,NULL
13263,Columbus Dr & Randolph St,41.884728,-87.619521,NULL,NULL,NULL,NULL
13265,Kingsbury St & Erie St,41.89380805624359,-87.64169722795485,NULL,NULL,NULL,NULL
13265,Kingsbury St & Erie St,41.8939139,-87.6417358,NULL,NULL,NULL,NULL
13265,Kingsbury St & Erie St,41.894714,-87.6417632,NULL,NULL,NULL,NULL
13265,Kingsbury St & Erie St,41.894821704475426,-87.64173536441808,NULL,NULL,NULL,NULL
13266,Stave St & Armitage Ave,41.917741,-87.691392,NULL,NULL,NULL,NULL
13268,Damen Ave & Wellington Ave,41.93588,-87.67842,NULL,NULL,NULL,NULL
13269,Ashland Ave & Wellington Ave,41.936083,-87.669807,NULL,NULL,NULL,NULL
13271,Damen Ave & Clybourn Ave,41.931931,-87.677856,NULL,NULL,NULL,NULL
13276,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,NULL,NULL,NULL,NULL
13277,Broadway & Belmont Ave,41.940106,-87.645451,NULL,NULL,NULL,NULL
13278,Broadway & Cornelia Ave,41.945529,-87.646439,NULL,NULL,NULL,NULL
13288,Damen Ave & Charleston St,41.920082,-87.677855,NULL,NULL,NULL,NULL
13289,Eckhart Park,41.89637337,-87.66098386,NULL,NULL,NULL,NULL
13290,Noble St & Milwaukee Ave,41.9007,-87.662607,NULL,NULL,NULL,NULL
13292,Kedzie Ave & Palmer Ct,41.921525,-87.707322,NULL,NULL,NULL,NULL
13294,Greenview Ave & Diversey Pkwy,41.93258963429789,-87.66593635082245,NULL,NULL,NULL,NULL
13296,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,NULL,NULL,NULL,NULL
13300,DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,NULL,NULL,NULL,NULL
13303,Clark St & Chicago Ave,41.89675,-87.63089,NULL,NULL,NULL,NULL
13304,Racine Ave & 15th St,41.861267,-87.656625,NULL,NULL,NULL,NULL
13307,Laflin St & Cullerton St,41.85491457576575,-87.66355991363525,NULL,NULL,NULL,NULL
13319,Ashland Ave & Grace St,41.950687,-87.6687,NULL,NULL,NULL,NULL
13323,Broadway & Sheridan Rd,41.952833,-87.649993,NULL,NULL,NULL,NULL
13325,Broadway & Waveland Ave,41.949074,-87.648636,NULL,NULL,NULL,NULL
13326,Canal St & Harrison St,41.874255,-87.639573,NULL,NULL,NULL,NULL
13331,May St & Cullerton St,41.855136,-87.654127,NULL,NULL,NULL,NULL
13332,Loomis St & Lexington St,41.87222873224032,-87.66136385500431,NULL,NULL,NULL,NULL
